"Grupo","Pieza","Cantidad","Largo(inch)","Ancho(inch)","Grosor(inch)","Material"
"","Galvanizado 2x2","32","69.5","2","2","Galvanized"
"","Galvanizado 2x2","8","133","2","2","Galvanized"
"","Galvanizado 2x2","4","90.5","2","2","Galvanized"
"","Galvanizado 2x2","12","4.82","2","2","Galvanized"
"","Galvanizado 2x2","2","11.65","2","2","Galvanized"
"","Galvanizado 2x2","6","15.09","2","2","Galvanized"
"","Galvanizado 2x2","4","90.4","2","2","Galvanized"
"","Galvanizado 2x2","2","8.25","2","2","Galvanized"
