"Grupo","Pieza","Cantidad","Largo(inch)","Ancho(inch)","Grosor(inch)","Material"
"","Esquinero","12","83","1","1","Black"
"","Esquinero","4","50.59","1","1","Black"
"","Esquinero","4","57.43","1","1","Black"
"","Esquinero","6","51.96","1","1","Black"
"","Esquinero","16","53","1","1","Black"
"","Esquinero","2","133","1","1","Black"
"","Esquinero","8","23.83","1","1","Black"
